sku,name,brand,category,description,unit,price,hsn,image,descimage
SC-150,0231-00-0132-0-112_150ML CLAMP PLATE (SH01//SH02 SC-150),Neuation / Accumax,PCR & Plates,,pack,1045,,,
SC-250,0231-00-0133-0-113_250ML SS CLAMP WITH SPRING (SH01/SH02 SC-250),Neuation / Accumax,Other,,unit,1045,,,
SC-500,0231-00-0134-0-114_500ML SS CLAMP WITH SPRING (SH01//SH02 SC-500),Neuation / Accumax,Other,,unit,1565,,,
SH01-SSP- 250,0231-00-0117-0-70_SS CLAMP TRAY (SH01 SSP-250),Neuation / Accumax,Other,,unit,5930,,,
SH02-SSP- 500,0251-00-0114-0-110_SS_TRAY_500ML (SH02 SSP-500),Neuation / Accumax,Other,,unit,23557,,,
SSP-500,0231-00-0118-0-72_SS CLAP TRAY (SH01 SSP-500),Neuation / Accumax,Other,,unit,5930,,,
PCM-035,MAG_BAR-CYLINDRICAL TYPE_SIZE:3*5MM,Neuation / Accumax,Other,,unit,70,,,
PCM-1070,MAG_BAR-CYLINDRICAL TYPE_SIZE:10*70MM,Neuation / Accumax,Other,,unit,577,,,
PCM-310,MAG_BAR-CYLINDRICAL TYPE_SIZE:3*10MM,Neuation / Accumax,Other,,unit,74,,,
PCM-610,MAG_BAR-CYLINDRICAL TYPE_SIZE:6*10MM,Neuation / Accumax,Other,,unit,84,,,
PCM-620,MAG_BAR-CYLINDRICAL TYPE_SIZE:6*20MM,Neuation / Accumax,Other,,unit,117,,,
PCM-630,MAG_BAR-CYLINDRICAL TYPE_SIZE:6*30MM,Neuation / Accumax,Other,,unit,151,,,
PCM-815,MAG_BAR-CYLINDRICAL TYPE_SIZE:8*15MM,Neuation / Accumax,Other,,unit,132,,,
PCM-825,MAG_BAR-CYLINDRICAL TYPE_SIZE:8*25MM,Neuation / Accumax,Other,,unit,201,,,
PCM-840,MAG_BAR-CYLINDRICAL TYPE_SIZE:8*40MM,Neuation / Accumax,Other,,unit,293,,,
PCM-850,MAG_BAR-CYLINDRICAL TYPE_SIZE:8*50MM,Neuation / Accumax,Other,,unit,347,,,
POB-1025,MAG_BAR-OVAL TYPE_SIZE:10*25MM,Neuation / Accumax,Other,,unit,173,,,
POB-1030,MAG_BAR-OVAL TYPE_SIZE:10*30MM,Neuation / Accumax,Other,,unit,203,,,
POB-1535,MAG_BAR-OVAL TYPE_SIZE:15*35MM,Neuation / Accumax,Other,,unit,293,,,
POB-1750,MAG_BAR-OVAL TYPE_SIZE:17*50MM,Neuation / Accumax,Other,,unit,466,,,
POB-510,MAG_BAR-OVAL TYPE_SIZE:5*10MM,Neuation / Accumax,Other,,unit,74,,,
POB-715,MAG_BAR-OVAL TYPE_SIZE:7*15MM,Neuation / Accumax,Other,,unit,94,,,
POM-815,MAG_BAR-OCATGONAL_SIZE:8*15MM,Neuation / Accumax,Other,,unit,134,,,
POM-825,MAG_BAR-OCATGONAL_SIZE:8*25MM,Neuation / Accumax,Other,,unit,246,,,
POM-840,MAG_BAR-OCATGONAL_SIZE:8*40MM,Neuation / Accumax,Other,,unit,173,,,
POM-850,MAG_BAR-OCATGONAL_SIZE:8*50MM,Neuation / Accumax,Other,,unit,203,,,
POM-875,MAG_BAR-OCATGONAL_SIZE:8*75MM,Neuation / Accumax,Other,,unit,759,,,
POM-930,MAG_BAR-OCATGONAL_SIZE:9*30MM,Neuation / Accumax,Other,,unit,320,,,
PRB-200,MAG_BAR_RETRIEVER-SIZE:200MM,Neuation / Accumax,Other,,unit,733,,,
PRB-300,MAG_BAR_RETRIEVER-SIZE:300MM,Neuation / Accumax,Other,,unit,932,,,
PRP-1030,MAG_BAR-PIVOT RING TYPE_SIZE:10*30MM,Neuation / Accumax,Other,,unit,308,,,
PRP-1050,MAG_BAR-PIVOT RING TYPE_SIZE:10*50MM,Neuation / Accumax,Other,,unit,462,,,
PRP-1060,MAG_BAR-PIVOT RING TYPE_SIZE:10*60MM,Neuation / Accumax,Other,,unit,524,,,
